userId,movieId,rating,timestamp
1,804,4,964980499
1,1210,5,964980499
1,2628,4,964980523
1,2826,4,964980523
1,2018,5,964980523
1,3578,5,964980668
1,3617,4,964980683
1,3744,4,964980694
1,101,5,964980868
1,441,4,964980868
1,2858,5,964980868
1,1473,4,964980875
1,2997,4,964980896
1,235,4,964980908
1,1060,4,964980924
1,356,4,964980962
1,2700,5,964980985
1,1500,4,964980985
1,223,3,964980985
1,3243,3,964981093
1,2395,5,964981093
1,3253,5,964981107
1,1517,5,964981107
1,1580,3,964981125
1,1732,5,964981125
1,3450,5,964981144
1,2596,5,964981144
1,333,5,964981179
1,543,4,964981179
1,231,5,964981179
1,1042,4,964981179
1,3052,5,964981208
1,216,5,964981208
1,500,3,964981208
1,3809,4,964981220
1,1777,4,964981230
1,3,4,964981247
1,2542,5,964981265
1,2502,5,964981278
1,1080,5,964981327
1,1136,5,964981327
1,1793,4,964981404
1,1256,5,964981442
1,1927,5,964981497
1,923,5,964981529
1,3671,5,964981589
1,260,5,964981680
1,1097,5,964981680
1,1073,5,964981680
1,2872,5,964981680
1,2174,4,964981680
1,2093,3,964981710
1,2005,5,964981710
1,1967,4,964981710
1,2161,5,964981710
1,367,4,964981710
1,2797,4,964981710
1,2193,4,964981710
1,3479,4,964981725
1,2143,4,964981725
1,2105,4,964981725
1,2054,4,964981747
1,2253,2,964981775
1,673,3,964981775
1,3489,4,964981775
1,1009,3,964981775
1,1920,4,964981780
1,3439,4,964981799
1,3440,4,964981799
1,1198,5,964981827
1,1196,5,964981827
1,3793,5,964981855
1,1214,4,964981855
1,2692,5,964981855
1,1197,5,964981872
1,3062,4,964981872
1,2944,5,964981872
1,2028,4,964981888
1,2571,5,964981888
1,2949,5,964981888
1,1222,5,964981909
1,1291,5,964981909
1,1220,5,964981909
1,457,5,964981909
1,3703,5,964981909
1,940,5,964982176
1,110,4,964982176
1,1954,5,964982176
1,2947,5,964982176
1,2948,5,964982191
1,2000,4,964982211
1,6,4,964982224
